Distance_(microns),Value
0.00000,1.0000
0.07345,7.8857
0.14689,12.3143
0.22034,12.0000
0.29379,8.3143
0.36723,8.2857
0.44068,6.4000
0.51413,12.4000
0.58758,12.5714
0.66102,20.2000
0.73447,26.2857
0.80792,44.4000
0.88136,42.4857
0.95481,63.2571
1.02826,96.2000
1.10170,100.4286
1.17515,98.2000
1.24860,99.4857
1.32204,98.5714
1.39549,94.8571
1.46894,101.7143
1.54239,96.0000
1.61583,90.1429
1.68928,82.6857
1.76273,68.1143
1.83617,63.0000
1.90962,57.8000
1.98307,52.2571
2.05651,44.2000
2.12996,45.1714
2.20341,48.2857
2.27685,30.6857
2.35030,21.8571
2.42375,34.5429
2.49720,25.0571
2.57064,20.0000
