Distance_(microns),Value
0.00000,2.0000
0.07345,1.6667
0.14689,2.5759
0.22034,0.9053
0.29379,2.6686
0.36723,4.3728
0.44068,3.4024
0.51413,4.6450
0.58758,6.7396
0.66102,9.4675
0.73447,14.9527
0.80792,17.7041
0.88136,15.1183
0.95481,14.6667
1.02826,14.3116
1.10170,14.7041
1.17515,14.1124
1.24860,11.4103
1.32204,15.2899
1.39549,14.8974
1.46894,7.0454
1.54239,19.2485
1.61583,23.1874
1.68928,20.6312
1.76273,19.1716
1.83617,17.9250
1.90962,12.6667
1.98307,9.7219
2.05651,9.0947
2.12996,8.6450
2.20341,5.2249
2.27685,5.5661
2.35030,7.6667
2.42375,5.1538
2.49720,1.3945
2.57064,1.9152
2.64409,0.4911
2.71754,1.6450
2.79098,5.4379
2.86443,5.0000
