Distance_(microns),Value
0.00000,0.0000
0.07345,3.2840
0.14689,1.2327
0.22034,0.0355
0.29379,0.2308
0.36723,0.1381
0.44068,0.2130
0.51413,3.0079
0.58758,5.6193
0.66102,9.6272
0.73447,21.1460
0.80792,36.6667
0.88136,50.9112
0.95481,47.0000
1.02826,33.4083
1.10170,16.2781
1.17515,14.3294
1.24860,16.7258
1.32204,6.8521
1.39549,5.9665
1.46894,6.3629
1.54239,11.7101
1.61583,23.2919
1.68928,14.8245
1.76273,9.4556
1.83617,2.7830
1.90962,2.0000
1.98307,2.5976
2.05651,3.3826
2.12996,2.3886
2.20341,3.3609
2.27685,2.5858
2.35030,0.0000
2.42375,0.6154
2.49720,2.4339
2.57064,4.9389
2.64409,0.2249
2.71754,3.1400
2.79098,2.0710
2.86443,9.0000
