Distance_(microns),Value
0.00000,5.000
0.07345,12.053
0.14689,12.183
0.22034,13.757
0.29379,14.570
0.36723,15.582
0.44068,13.976
0.51413,10.785
0.58758,18.475
0.66102,23.361
0.73447,25.030
0.80792,40.110
0.88136,60.432
0.95481,85.333
1.02826,106.588
1.10170,104.118
1.17515,115.087
1.24860,114.980
1.32204,116.095
1.39549,112.961
1.46894,117.018
1.54239,123.509
1.61583,118.980
1.68928,119.878
1.76273,115.550
1.83617,95.913
1.90962,86.333
1.98307,83.195
2.05651,64.523
2.12996,48.813
2.20341,39.935
2.27685,30.420
2.35030,24.219
2.42375,21.024
2.49720,13.663
2.57064,9.000
2.64409,9.473
2.71754,7.333
2.79098,7.442
2.86443,3.000
