Distance_(microns),Value
0.00000,11.000
0.07345,13.585
0.14689,18.976
0.22034,31.951
0.29379,28.195
0.36723,25.854
0.44068,37.049
0.51413,52.341
0.58758,74.707
0.66102,93.049
0.73447,99.171
0.80792,145.439
0.88136,163.171
0.95481,182.317
1.02826,208.610
1.10170,207.341
1.17515,204.902
1.24860,235.049
1.32204,219.122
1.39549,230.415
1.46894,231.829
1.54239,226.000
1.61583,208.463
1.68928,202.122
1.76273,188.585
1.83617,153.195
1.90962,140.951
1.98307,118.049
2.05651,103.024
2.12996,92.024
2.20341,71.780
2.27685,81.390
2.35030,60.244
2.42375,60.805
2.49720,54.707
2.57064,42.390
2.64409,33.146
2.71754,40.098
2.79098,29.293
2.86443,28.024
2.93788,25.902
3.01132,18.000
