Distance_(microns),Value
0.00000,6.2500
0.07345,6.1866
0.14689,5.4871
0.22034,6.7033
0.29379,10.6446
0.36723,13.5160
0.44068,16.7660
0.51413,25.7705
0.58758,28.6508
0.66102,33.5012
0.73447,35.8172
0.80792,26.9375
0.88136,26.1157
0.95481,16.6369
1.02826,6.8611
1.10170,15.9376
1.17515,12.4876
1.24860,8.4954
1.32204,7.8719
1.39549,7.4307
1.46894,6.2066
1.54239,6.6737
1.61583,5.5000
1.68928,2.6055
1.76273,2.8264
1.83617,4.8257
1.90962,4.5935
1.98307,5.4330
2.05651,3.5207
2.12996,2.5341
2.20341,5.7681
2.27685,6.1941
2.35030,6.2727
2.42375,5.4219
2.49720,3.2546
2.57064,3.2615
2.64409,3.7107
2.71754,3.6591
2.79098,4.1085
2.86443,3.4886
2.93788,1.0909
3.01132,1.7297
3.08477,2.8177
3.15822,8.8215
3.23166,2.0000
