Distance_(microns),Value
0.00000,15.000
0.07345,14.747
0.14689,16.583
0.22034,18.687
0.29379,18.636
0.36723,29.046
0.44068,48.161
0.51413,43.803
0.58758,47.634
0.66102,68.353
0.73447,80.877
0.80792,104.938
0.88136,107.884
0.95481,118.090
1.02826,147.069
1.10170,150.203
1.17515,133.382
1.24860,138.534
1.32204,158.775
1.39549,145.921
1.46894,160.545
1.54239,143.071
1.61583,144.375
1.68928,139.234
1.76273,120.700
1.83617,112.137
1.90962,104.445
1.98307,97.366
2.05651,87.463
2.12996,84.371
2.20341,89.619
2.27685,79.396
2.35030,64.971
2.42375,60.688
2.49720,56.721
2.57064,56.798
2.64409,56.149
2.71754,47.221
2.79098,40.030
2.86443,41.651
2.93788,28.581
3.01132,22.740
3.08477,22.438
3.15822,21.572
3.23166,14.000
