Distance_(microns),Value
0.00000,3.0000
0.07345,1.2941
0.14689,2.8824
0.22034,2.4412
0.29379,4.7647
0.36723,5.7353
0.44068,2.8824
0.51413,3.0588
0.58758,4.0000
0.66102,3.0000
0.73447,4.4118
0.80792,3.0000
0.88136,5.2941
0.95481,6.9118
1.02826,8.0000
1.10170,11.2059
1.17515,9.0000
1.24860,10.5000
1.32204,5.4118
1.39549,7.8235
1.46894,12.2353
1.54239,10.6471
1.61583,7.5882
1.68928,7.8529
1.76273,5.5294
1.83617,10.1176
1.90962,8.0588
1.98307,6.8235
2.05651,4.2353
2.12996,5.5882
2.20341,3.5882
2.27685,2.3235
2.35030,6.4118
2.42375,5.5588
2.49720,2.0000
