Distance_(microns),Value
0.00000,2.0000
0.07345,7.6765
0.14689,1.8824
0.22034,0.5588
0.29379,0.0000
0.36723,2.7353
0.44068,0.0000
0.51413,3.2353
0.58758,5.5294
0.66102,3.5882
0.73447,4.7059
0.80792,13.5294
0.88136,17.2353
0.95481,16.2647
1.02826,22.4706
1.10170,21.1471
1.17515,22.7059
1.24860,6.5000
1.32204,7.8824
1.39549,2.8235
1.46894,7.8824
1.54239,2.7353
1.61583,2.0000
1.68928,7.2353
1.76273,6.9412
1.83617,6.3235
1.90962,9.3529
1.98307,12.8529
2.05651,5.2353
2.12996,6.0000
2.20341,12.4118
2.27685,0.8824
2.35030,3.8235
2.42375,2.2941
2.49720,2.0000
