Distance_(microns),Value
0.00000,12.0000
0.07345,6.1224
0.14689,2.0000
0.22034,4.3673
0.29379,4.0000
0.36723,4.0000
0.44068,4.0612
0.51413,3.5714
0.58758,8.9796
0.66102,9.6939
0.73447,10.4490
0.80792,18.2245
0.88136,17.8776
0.95481,34.9592
1.02826,39.5714
1.10170,38.1837
1.17515,32.5918
1.24860,17.9796
1.32204,19.1837
1.39549,15.3061
1.46894,13.1429
1.54239,13.2857
1.61583,6.0000
1.68928,10.8980
1.76273,10.0612
1.83617,9.3673
1.90962,10.3673
1.98307,9.8571
2.05651,3.5714
2.12996,4.2041
2.20341,6.3469
2.27685,4.0000
2.35030,2.0816
2.42375,6.1224
2.49720,2.4898
2.57064,7.0000
2.64409,5.1837
2.71754,8.0612
2.79098,2.3061
2.86443,8.4286
2.93788,4.3061
3.01132,6.0204
3.08477,3.2857
3.15822,3.2653
3.23166,2.3878
3.30511,6.4694
3.37856,4.7347
3.45200,5.2449
3.52545,5.9796
3.59890,12.0000
