Distance_(microns),Value
0.00000,3.000
0.07345,15.918
0.14689,6.041
0.22034,2.367
0.29379,2.469
0.36723,3.939
0.44068,1.000
0.51413,7.143
0.58758,3.980
0.66102,2.898
0.73447,11.020
0.80792,18.694
0.88136,41.531
0.95481,99.265
1.02826,165.000
1.10170,195.878
1.17515,222.388
1.24860,110.204
1.32204,40.163
1.39549,17.306
1.46894,11.592
1.54239,6.571
1.61583,10.000
1.68928,10.531
1.76273,9.510
1.83617,4.245
1.90962,2.000
1.98307,4.224
2.05651,5.571
2.12996,3.245
2.20341,4.265
2.27685,1.837
2.35030,13.082
2.42375,6.714
2.49720,4.184
2.57064,4.286
2.64409,3.000
2.71754,0.939
2.79098,8.918
2.86443,4.551
2.93788,6.286
3.01132,2.204
3.08477,0.286
3.15822,6.592
3.23166,11.388
3.30511,11.469
3.37856,4.000
3.45200,9.020
3.52545,6.633
3.59890,10.000
