Distance_(microns),Value
0.00000,7.000
0.07345,13.143
0.14689,9.469
0.22034,9.102
0.29379,8.041
0.36723,8.163
0.44068,9.735
0.51413,7.143
0.58758,8.898
0.66102,12.286
0.73447,16.449
0.80792,18.735
0.88136,30.776
0.95481,40.000
1.02826,77.429
1.10170,102.163
1.17515,161.061
1.24860,204.878
1.32204,233.020
1.39549,234.122
1.46894,241.469
1.54239,238.429
1.61583,242.245
1.68928,236.224
1.76273,246.224
1.83617,234.673
1.90962,234.469
1.98307,218.939
2.05651,205.143
2.12996,188.122
2.20341,166.980
2.27685,164.102
2.35030,144.837
2.42375,145.673
2.49720,125.959
2.57064,100.143
2.64409,103.673
2.71754,92.714
2.79098,78.776
2.86443,81.061
2.93788,67.653
3.01132,58.878
3.08477,50.286
3.15822,31.918
3.23166,28.163
3.30511,24.714
3.37856,26.163
3.45200,24.980
3.52545,21.000
3.59890,13.000
