Distance_(microns),Value
0.00000,5.0000
0.07345,4.2182
0.14689,2.4364
0.22034,1.1636
0.29379,3.4364
0.36723,5.0000
0.44068,8.3455
0.51413,11.8545
0.58758,14.5091
0.66102,22.4727
0.73447,26.1818
0.80792,21.0000
0.88136,21.9636
0.95481,22.8364
1.02826,25.4000
1.10170,32.2727
1.17515,14.6364
1.24860,21.2364
1.32204,23.8000
1.39549,26.8182
1.46894,10.8182
1.54239,28.0000
1.61583,30.4000
1.68928,32.0364
1.76273,36.9818
1.83617,24.8182
1.90962,18.5091
1.98307,18.0000
2.05651,11.0545
2.12996,7.0000
2.20341,6.9091
2.27685,7.9273
2.35030,8.2364
2.42375,5.2000
2.49720,7.0000
2.57064,4.1818
2.64409,3.0364
2.71754,4.9818
2.79098,5.3636
2.86443,4.1455
2.93788,4.6364
3.01132,4.7636
3.08477,5.2909
3.15822,3.0364
3.23166,7.0000
3.30511,6.7273
3.37856,5.0727
3.45200,2.4364
3.52545,1.5273
3.59890,3.6727
3.67235,2.0000
3.74579,4.7818
3.81924,3.6727
3.89269,6.6727
3.96613,3.0545
4.03958,5.0000
