Distance_(microns),Value
0.00000,7.0000
0.07345,0.1636
0.14689,1.7818
0.22034,0.8364
0.29379,0.0000
0.36723,2.7273
0.44068,5.0000
0.51413,6.0000
0.58758,11.6364
0.66102,37.8182
0.73447,34.3636
0.80792,35.2000
0.88136,34.3818
0.95481,28.1818
1.02826,27.7455
1.10170,47.4545
1.17515,29.0182
1.24860,30.9818
1.32204,18.2000
1.39549,11.4727
1.46894,33.1818
1.54239,28.3273
1.61583,38.4000
1.68928,43.3455
1.76273,52.8909
1.83617,38.8182
1.90962,38.5091
1.98307,11.4909
2.05651,10.3091
2.12996,8.9273
2.20341,7.9091
2.27685,3.6182
2.35030,2.0000
2.42375,9.4000
2.49720,5.4545
2.57064,9.7273
2.64409,6.3636
2.71754,5.0182
2.79098,10.2727
2.86443,0.5091
2.93788,7.7273
3.01132,12.1091
3.08477,2.5818
3.15822,2.7636
3.23166,9.4000
3.30511,0.0000
3.37856,2.0000
3.45200,1.6909
3.52545,2.9091
3.59890,2.6909
3.67235,0.7273
3.74579,2.2182
3.81924,0.0000
3.89269,6.1091
3.96613,6.2727
4.03958,16.0000
