Distance_(microns),Value
0.00000,18.000
0.07345,8.789
0.14689,11.053
0.22034,12.105
0.29379,12.895
0.36723,11.000
0.44068,15.789
0.51413,18.526
0.58758,25.368
0.66102,26.842
0.73447,46.421
0.80792,66.368
0.88136,111.158
0.95481,122.789
1.02826,173.684
1.10170,198.158
1.17515,193.895
1.24860,181.684
1.32204,204.263
1.39549,230.000
1.46894,173.684
1.54239,196.526
1.61583,173.632
1.68928,153.211
1.76273,154.053
1.83617,136.053
1.90962,98.895
1.98307,86.789
2.05651,55.211
2.12996,45.474
2.20341,27.368
2.27685,31.737
2.35030,20.368
2.42375,18.105
2.49720,22.789
2.57064,26.368
2.64409,23.842
2.71754,29.579
2.79098,27.000
