Distance_(microns),Value
0.00000,8.0000
0.07345,4.1435
0.14689,6.0185
0.22034,2.7292
0.29379,10.2222
0.36723,19.9560
0.44068,30.4167
0.51413,33.2060
0.58758,37.5185
0.66102,25.1250
0.73447,10.0926
0.80792,9.8056
0.88136,1.6667
0.95481,4.0764
1.02826,2.5278
1.10170,0.3125
1.17515,6.5556
1.24860,14.7824
1.32204,11.2500
1.39549,7.6944
1.46894,11.1481
1.54239,13.8958
1.61583,14.4167
1.68928,8.6713
1.76273,7.0000
1.83617,9.9884
1.90962,6.5648
1.98307,6.3750
2.05651,7.9259
2.12996,8.2523
2.20341,4.8333
2.27685,2.3125
2.35030,5.0370
2.42375,2.0833
2.49720,1.3796
2.57064,1.7847
2.64409,4.0000
