Distance_(microns),Value
0.00000,6.7500
0.07345,12.6667
0.14689,15.6204
0.22034,11.3333
0.29379,13.2407
0.36723,11.7407
0.44068,10.5000
0.51413,7.5741
0.58758,8.9352
0.66102,2.5000
0.73447,4.5648
0.80792,4.3148
0.88136,2.9167
0.95481,4.1481
1.02826,1.3333
1.10170,3.5000
1.17515,3.0556
1.24860,4.5370
1.32204,7.5000
1.39549,3.6481
1.46894,3.5556
1.54239,5.0000
1.61583,2.9537
1.68928,2.6667
1.76273,5.8333
1.83617,4.1667
1.90962,3.5000
1.98307,2.5000
2.05651,3.0741
2.12996,2.5926
2.20341,1.8333
2.27685,1.7222
2.35030,3.5463
2.42375,2.0000
2.49720,3.1111
2.57064,1.4259
2.64409,1.5000
