Distance_(microns),Value
0.00000,20.250
0.07345,15.083
0.14689,12.216
0.22034,12.678
0.29379,13.374
0.36723,18.182
0.44068,20.855
0.51413,27.303
0.58758,54.455
0.66102,87.041
0.73447,116.434
0.80792,121.000
0.88136,128.574
0.95481,141.725
1.02826,141.171
1.10170,140.983
1.17515,138.707
1.24860,140.741
1.32204,131.847
1.39549,117.353
1.46894,109.040
1.54239,92.562
1.61583,72.667
1.68928,68.256
1.76273,52.820
1.83617,28.917
1.90962,31.388
1.98307,27.752
2.05651,16.194
2.12996,11.758
2.20341,16.826
2.27685,10.193
2.35030,6.366
2.42375,8.000
