Distance_(microns),Value
0.00000,4.0000
0.07345,3.4971
0.14689,6.2098
0.22034,3.9698
0.29379,3.7494
0.36723,3.7347
0.44068,6.1388
0.51413,4.2000
0.58758,3.6000
0.66102,6.2024
0.73447,6.6327
0.80792,4.7665
0.88136,6.6433
0.95481,11.4571
1.02826,15.8000
1.10170,15.6531
1.17515,20.7192
1.24860,18.4180
1.32204,19.9894
1.39549,20.7576
1.46894,22.3469
1.54239,22.7200
1.61583,19.0286
1.68928,16.8310
1.76273,16.5527
1.83617,14.5918
1.90962,13.0596
1.98307,10.6571
2.05651,8.0000
2.12996,5.4678
2.20341,3.9184
2.27685,1.4792
2.35030,3.1241
2.42375,3.7420
2.49720,2.4253
2.57064,3.0000
