Distance_(microns),Value
0.00000,3.0000
0.07345,5.3902
0.14689,4.0000
0.22034,0.2927
0.29379,7.5854
0.36723,3.7073
0.44068,7.9268
0.51413,20.3902
0.58758,24.1220
0.66102,35.3659
0.73447,30.9756
0.80792,23.3659
0.88136,12.6829
0.95481,6.0976
1.02826,7.0488
1.10170,2.4146
1.17515,2.0000
1.24860,4.1707
1.32204,3.1220
1.39549,3.0000
1.46894,0.0000
1.54239,4.1463
1.61583,5.9268
1.68928,1.8537
1.76273,4.5122
1.83617,4.2195
1.90962,4.6585
1.98307,5.0488
2.05651,1.9024
2.12996,2.4878
2.20341,0.0000
2.27685,0.0000
2.35030,0.0000
2.42375,4.2195
2.49720,3.3415
2.57064,6.8293
2.64409,0.4878
2.71754,0.1951
2.79098,0.0000
2.86443,4.0976
2.93788,0.0976
3.01132,4.0000
