Distance_(microns),Value
0.00000,4.0000
0.07345,3.6471
0.14689,6.2111
0.22034,15.7872
0.29379,34.8261
0.36723,44.1038
0.44068,48.0978
0.51413,37.6765
0.58758,29.2370
0.66102,24.3893
0.73447,10.1202
0.80792,5.8305
0.88136,6.3045
0.95481,4.4118
1.02826,0.0078
1.10170,1.2543
1.17515,4.5588
1.24860,0.5000
1.32204,3.9490
1.39549,2.7093
1.46894,0.3962
1.54239,0.4844
1.61583,1.8183
1.68928,2.0000
1.76273,4.3824
1.83617,6.3945
1.90962,3.0891
1.98307,5.0329
2.05651,4.1012
2.12996,1.1938
2.20341,5.8131
2.27685,4.3010
2.35030,0.8694
2.42375,0.9135
2.49720,1.0000
