Distance_(microns),Value
0.00000,6.750
0.07345,8.173
0.14689,13.561
0.22034,16.765
0.29379,22.930
0.36723,34.766
0.44068,50.626
0.51413,68.616
0.58758,87.958
0.66102,84.706
0.73447,100.792
0.80792,117.595
0.88136,115.769
0.95481,136.195
1.02826,137.236
1.10170,128.948
1.17515,119.491
1.24860,108.000
1.32204,100.106
1.39549,119.948
1.46894,115.565
1.54239,100.458
1.61583,95.285
1.68928,92.078
1.76273,93.767
1.83617,77.502
1.90962,68.770
1.98307,56.988
2.05651,51.715
2.12996,39.522
2.20341,31.989
2.27685,34.341
2.35030,28.850
2.42375,26.533
2.49720,26.250
