Distance_(microns),Value
0.00000,0.0000
0.07345,7.2000
0.14689,3.8222
0.22034,3.0000
0.29379,1.5111
0.36723,4.5556
0.44068,3.6000
0.51413,1.7778
0.58758,6.5333
0.66102,17.0000
0.73447,37.5556
0.80792,71.6667
0.88136,73.0000
0.95481,99.2889
1.02826,87.8444
1.10170,65.0000
1.17515,46.3778
1.24860,19.2889
1.32204,21.2000
1.39549,12.6889
1.46894,10.3333
1.54239,3.4000
1.61583,2.7556
1.68928,5.7111
1.76273,8.4000
1.83617,7.7778
1.90962,8.3333
1.98307,11.0000
2.05651,6.4667
2.12996,6.4889
2.20341,4.0000
2.27685,3.6222
2.35030,0.3556
2.42375,1.601E-11
2.49720,4.1111
2.57064,3.8889
2.64409,1.4000
2.71754,1.6444
2.79098,3.6000
2.86443,2.8000
2.93788,2.3333
3.01132,2.5333
3.08477,1.0000
3.15822,3.8889
3.23166,2.0000
3.30511,3.0000
