Distance_(microns),Value
0.00000,10.000
0.07345,8.111
0.14689,8.978
0.22034,6.800
0.29379,7.867
0.36723,9.222
0.44068,8.200
0.51413,9.978
0.58758,17.178
0.66102,19.200
0.73447,28.444
0.80792,42.578
0.88136,71.600
0.95481,96.933
1.02826,134.400
1.10170,180.000
1.17515,184.400
1.24860,216.400
1.32204,229.600
1.39549,230.156
1.46894,223.556
1.54239,219.400
1.61583,219.200
1.68928,223.133
1.76273,226.600
1.83617,219.556
1.90962,217.378
1.98307,207.800
2.05651,175.533
2.12996,187.111
2.20341,162.000
2.27685,157.133
2.35030,144.422
2.42375,138.600
2.49720,118.578
2.57064,95.222
2.64409,65.600
2.71754,57.111
2.79098,53.911
2.86443,48.600
2.93788,36.444
3.01132,33.178
3.08477,36.600
3.15822,21.689
3.23166,21.333
3.30511,29.000
