Distance_(microns),Value
0.00000,6.0000
0.07345,5.9310
0.14689,6.2069
0.22034,13.3103
0.29379,7.1034
0.36723,7.6897
0.44068,18.1724
0.51413,14.5172
0.58758,16.6552
0.66102,24.5862
0.73447,28.7586
0.80792,28.7241
0.88136,31.2069
0.95481,40.4483
1.02826,36.5862
1.10170,39.0345
1.17515,31.7931
1.24860,30.3793
1.32204,28.6897
1.39549,33.5172
1.46894,28.7241
1.54239,29.2069
1.61583,24.0690
1.68928,26.0000
1.76273,24.8276
1.83617,23.0000
1.90962,27.8966
1.98307,20.7241
2.05651,23.7586
2.12996,12.0000
