Distance_(microns),Value
0.00000,0.0000
0.07345,0.8967
0.14689,0.5861
0.22034,0.1302
0.29379,0.3671
0.36723,2.7087
0.44068,10.0289
0.51413,17.3650
0.58758,34.6281
0.66102,54.1446
0.73447,68.5014
0.80792,62.5000
0.88136,24.7913
0.95481,8.0152
1.02826,7.1674
1.10170,2.0806
1.17515,4.5627
1.24860,3.4539
1.32204,6.8740
1.39549,5.4456
1.46894,3.0950
1.54239,9.9174
1.61583,2.5000
1.68928,5.8629
1.76273,1.5186
1.83617,1.9573
1.90962,6.4187
1.98307,4.1136
2.05651,3.6123
2.12996,3.8567
2.20341,3.2789
2.27685,1.4456
2.35030,0.8196
2.42375,3.5000
