Distance_(microns),Value
0.00000,12.250
0.07345,10.702
0.14689,12.094
0.22034,8.103
0.29379,6.705
0.36723,6.415
0.44068,9.467
0.51413,18.597
0.58758,29.510
0.66102,40.351
0.73447,69.895
0.80792,96.000
0.88136,131.727
0.95481,156.218
1.02826,158.531
1.10170,183.052
1.17515,167.502
1.24860,202.676
1.32204,168.907
1.39549,143.826
1.46894,146.656
1.54239,132.116
1.61583,120.917
1.68928,119.483
1.76273,103.314
1.83617,78.085
1.90962,68.278
1.98307,65.676
2.05651,58.988
2.12996,42.251
2.20341,40.035
2.27685,35.919
2.35030,32.119
2.42375,30.000
