Distance_(microns),Value
0.00000,5.000
0.07345,2.931
0.14689,6.278
0.22034,4.086
0.29379,3.771
0.36723,2.755
0.44068,6.641
0.51413,28.800
0.58758,48.612
0.66102,60.898
0.73447,87.694
0.80792,94.416
0.88136,117.563
0.95481,83.604
1.02826,77.400
1.10170,39.408
1.17515,23.751
1.24860,10.020
1.32204,8.661
1.39549,8.086
1.46894,6.510
1.54239,3.600
1.61583,7.576
1.68928,2.571
1.76273,3.024
1.83617,1.653
1.90962,2.376
1.98307,3.735
2.05651,2.200
2.12996,1.576
2.20341,2.510
2.27685,1.351
2.35030,2.547
2.42375,0.649
2.49720,1.102
2.57064,2.000
