Distance_(microns),Value
0.00000,3.000
0.07345,5.963
0.14689,9.669
0.22034,10.029
0.29379,8.555
0.36723,8.878
0.44068,12.208
0.51413,16.000
0.58758,31.147
0.66102,58.576
0.73447,86.694
0.80792,109.743
0.88136,166.706
0.95481,206.657
1.02826,233.800
1.10170,229.347
1.17515,230.804
1.24860,238.502
1.32204,236.612
1.39549,237.102
1.46894,220.551
1.54239,207.400
1.61583,185.735
1.68928,141.306
1.76273,126.592
1.83617,101.347
1.90962,71.559
1.98307,63.645
2.05651,49.200
2.12996,34.033
2.20341,34.612
2.27685,31.837
2.35030,17.841
2.42375,15.273
2.49720,10.155
2.57064,4.000
