Distance_(microns),Value
0.00000,0.0000
0.07345,4.9474
0.14689,1.9474
0.22034,3.0000
0.29379,2.6842
0.36723,4.4737
0.44068,2.1579
0.51413,4.8158
0.58758,7.8421
0.66102,16.3947
0.73447,29.8947
0.80792,37.0000
0.88136,19.5263
0.95481,8.7368
1.02826,4.4211
1.10170,8.7895
1.17515,1.0000
1.24860,2.2368
1.32204,3.1579
1.39549,1.0000
1.46894,10.3158
1.54239,3.3421
1.61583,1.6842
1.68928,7.3947
1.76273,2.9474
1.83617,8.6579
1.90962,1.3684
1.98307,2.0263
2.05651,3.2632
2.12996,5.0526
2.20341,5.2105
2.27685,0.8158
2.35030,1.6842
2.42375,8.6842
2.49720,0.0000
2.57064,2.0000
2.64409,0.4211
2.71754,11.6842
2.79098,6.0000
