Distance_(microns),Value
0.00000,10.0000
0.07345,11.0526
0.14689,5.3158
0.22034,8.4737
0.29379,8.7895
0.36723,5.2632
0.44068,13.4211
0.51413,14.0000
0.58758,20.1053
0.66102,19.7632
0.73447,24.2632
0.80792,27.8947
0.88136,42.6842
0.95481,52.3158
1.02826,58.4737
1.10170,64.1053
1.17515,72.8421
1.24860,68.8684
1.32204,79.4211
1.39549,68.5000
1.46894,74.1053
1.54239,74.9737
1.61583,69.7895
1.68928,68.6842
1.76273,68.6316
1.83617,64.2632
1.90962,61.8947
1.98307,61.5263
2.05651,44.7895
2.12996,49.8421
2.20341,37.8947
2.27685,21.6579
2.35030,19.1053
2.42375,15.9737
2.49720,12.7368
2.57064,12.8421
2.64409,8.4737
2.71754,6.0263
2.79098,7.0000
