,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,2.0,3.0,12.0
1,0.07345,0.9429,0.1143,11.629
2,0.14689,0.0,2.4571,13.886
3,0.22034,4.1714,1.8286,15.486
4,0.29379,4.0857,3.2286,18.943
5,0.36723,5.8571,1.1429,9.571
6,0.44068,3.2857,2.9714,13.314
7,0.51413,10.4,5.2,13.0
8,0.58758,15.8,9.9143,24.286
9,0.66102,34.9714,11.3143,36.057
10,0.73447,22.0,10.8571,47.571
11,0.80792,14.0,11.0,65.686
12,0.88136,11.5714,9.6857,72.514
13,0.95481,3.0,10.4857,89.343
14,1.02826,0.6,5.4,96.2
15,1.1017,2.5714,4.0,88.571
16,1.17515,6.2571,6.4286,90.371
17,1.2486,4.4286,9.0857,103.543
18,1.32204,3.0,7.0571,107.743
19,1.39549,3.0857,14.1429,114.229
20,1.46894,4.2857,5.2857,128.571
21,1.54239,1.0,9.2,127.2
22,1.61583,5.7429,4.8,97.657
23,1.68928,4.4286,6.0571,96.629
24,1.76273,5.0286,5.1143,80.943
25,1.83617,0.5714,2.2857,76.143
26,1.90962,0.5143,1.4857,66.629
27,1.98307,1.8286,3.9143,55.257
28,2.05651,2.0,3.4,35.6
29,2.12996,0.6571,6.3143,21.257
30,2.20341,5.1429,3.5714,24.857
31,2.27685,2.3143,4.4571,19.686
32,2.3503,1.8286,2.6857,19.943
33,2.42375,2.3429,3.6571,17.886
34,2.4972,2.0571,4.0,11.057
35,2.57064,1.0,7.0,9.0
