,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,5.75,4.5,18.5
1,0.07345,3.0627,6.8374,19.504
2,0.14689,4.7924,8.0715,13.481
3,0.22034,5.1613,5.371,17.922
4,0.29379,3.5679,5.0367,22.624
5,0.36723,4.8098,5.0999,22.704
6,0.44068,16.7503,5.8117,22.7
7,0.51413,31.6342,15.3091,39.281
8,0.58758,33.0395,18.8658,71.114
9,0.66102,31.0869,22.7417,95.201
10,0.73447,16.8478,15.1969,128.239
11,0.80792,14.448,9.8702,150.114
12,0.88136,12.9571,12.6631,159.362
13,0.95481,4.0926,8.4943,165.405
14,1.02826,7.738,5.9571,161.311
15,1.1017,4.9217,11.218,136.798
16,1.17515,2.954,7.2825,119.701
17,1.2486,6.9459,8.4248,115.224
18,1.32204,0.5177,8.1335,112.119
19,1.39549,2.4896,7.5161,111.036
20,1.46894,8.7549,5.9792,90.938
21,1.54239,1.6917,2.6254,76.772
22,1.61583,1.1217,4.5856,59.078
23,1.68928,2.7869,2.9657,45.325
24,1.76273,2.8684,5.0247,31.664
25,1.83617,3.1613,3.7432,22.488
26,1.90962,4.1095,3.9454,20.884
27,1.98307,1.8548,2.3665,17.018
28,2.05651,0.6545,2.8319,14.413
29,2.12996,0.5835,3.0252,11.381
30,2.20341,2.372,1.2901,8.322
31,2.27685,1.75,1.0,8.25
