,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,4.0,2.0,19.0
1,0.07345,7.926,2.0138,23.495
2,0.14689,0.324,4.2871,32.38
3,0.22034,0.0,4.0415,46.915
4,0.29379,7.242,1.2778,54.741
5,0.36723,4.572,3.6528,61.23
6,0.44068,20.859,11.6991,51.62
7,0.51413,36.044,23.1852,46.029
8,0.58758,66.084,41.2936,62.907
9,0.66102,92.557,51.5104,96.205
10,0.73447,113.633,64.9288,141.831
11,0.80792,116.262,61.5847,183.527
12,0.88136,134.152,67.3369,208.858
13,0.95481,120.452,50.8089,238.591
14,1.02826,81.847,29.666,247.357
15,1.1017,48.761,22.9855,249.97
16,1.17515,28.529,19.3431,238.366
17,1.2486,13.187,14.2009,228.987
18,1.32204,7.917,11.7709,219.729
19,1.39549,6.262,10.3627,214.56
20,1.46894,4.307,10.1156,221.531
21,1.54239,1.195,11.0651,185.993
22,1.61583,1.49,11.4952,160.562
23,1.68928,2.932,8.934,159.877
24,1.76273,0.556,4.5185,155.826
25,1.83617,2.881,4.1171,141.553
26,1.90962,3.894,4.2434,121.634
27,1.98307,1.828,4.7967,112.342
28,2.05651,4.084,6.2979,88.34
29,2.12996,4.248,7.3711,80.366
30,2.20341,4.141,4.0423,69.727
31,2.27685,1.532,2.0706,60.264
32,2.3503,0.837,3.3278,53.176
33,2.42375,2.213,2.3901,41.111
34,2.4972,4.564,2.8637,36.168
35,2.57064,3.372,1.0386,35.686
36,2.64409,1.806,1.1666,31.278
