,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,0.0,5.0,22.0
1,0.07345,1.2857,3.9714,20.771
2,0.14689,1.1143,1.9429,21.314
3,0.22034,4.7429,4.9143,23.229
4,0.29379,14.8857,4.4571,12.886
5,0.36723,0.2857,5.8571,11.571
6,0.44068,0.6857,8.9714,17.171
7,0.51413,3.6,7.8,25.4
8,0.58758,25.4,11.6286,28.686
9,0.66102,35.5429,24.8,51.057
10,0.73447,61.0,31.1429,80.714
11,0.80792,51.0571,28.8857,125.171
12,0.88136,37.1143,19.0857,157.114
13,0.95481,26.0286,13.2571,180.229
14,1.02826,11.8,12.0,206.4
15,1.1017,13.8571,10.0,203.429
16,1.17515,5.6286,7.4571,185.514
17,1.2486,6.3714,9.0,201.343
18,1.32204,3.5143,4.5143,163.829
19,1.39549,0.0,6.5429,190.343
20,1.46894,5.8571,5.5714,142.429
21,1.54239,4.0,4.2,148.4
22,1.61583,2.7429,2.7429,120.4
23,1.68928,0.6571,3.0,100.371
24,1.76273,0.0,1.5714,90.371
25,1.83617,0.0,3.0,70.0
26,1.90962,0.0,3.7429,64.114
27,1.98307,1.6857,3.5429,54.571
28,2.05651,0.6,2.6,39.2
29,2.12996,0.8286,5.0,44.886
30,2.20341,3.4286,4.2857,31.0
31,2.27685,4.5429,1.6857,19.8
32,2.3503,0.3429,4.7429,18.343
33,2.42375,0.0,2.2857,16.114
34,2.4972,0.1143,1.0286,23.771
35,2.57064,0.0,2.0,29.0
