,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,0.0,5.0,17.0
1,0.07345,5.0398,6.8253,16.476
2,0.14689,6.4325,3.8339,15.595
3,0.22034,16.5017,15.827,24.699
4,0.29379,34.8512,22.7716,34.353
5,0.36723,48.4723,27.545,51.706
6,0.44068,50.4498,37.8235,73.779
7,0.51413,44.4048,29.3754,103.588
8,0.58758,29.8789,19.9308,118.782
9,0.66102,16.2388,10.9862,119.178
10,0.73447,10.1142,5.6471,130.367
11,0.80792,6.6453,4.9066,134.915
12,0.88136,4.7509,6.7059,114.249
13,0.95481,3.6955,5.3529,120.374
14,1.02826,1.3945,3.5986,116.097
15,1.1017,8.237,1.8824,109.491
16,1.17515,9.5675,1.2353,110.557
17,1.2486,5.5,2.5,102.5
18,1.32204,1.1557,5.481,87.135
19,1.39549,3.1107,3.4481,72.562
20,1.46894,1.9239,2.9862,57.903
21,1.54239,1.0623,5.8633,53.673
22,1.61583,1.5156,7.7405,43.855
23,1.68928,2.5138,4.8408,31.964
24,1.76273,0.7612,4.2699,29.844
25,1.83617,0.2543,3.0623,36.503
26,1.90962,0.218,2.3599,26.74
27,1.98307,0.6055,3.0121,19.412
28,2.05651,1.3322,3.5882,17.19
29,2.12996,0.0,3.5087,15.542
30,2.20341,1.2734,4.1557,15.744
31,2.27685,4.7958,9.2042,14.808
32,2.3503,0.5813,3.0519,8.509
33,2.42375,9.2716,5.308,9.689
34,2.4972,9.0,7.0,7.0
