,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,4.0,2.0,11.0
1,0.07345,0.0,2.7059,16.647
2,0.14689,1.5294,2.7647,15.294
3,0.22034,1.6471,5.6471,10.294
4,0.29379,8.1176,4.5882,11.765
5,0.36723,0.0,4.4118,19.412
6,0.44068,13.7059,8.4706,18.471
7,0.51413,28.8235,9.8235,20.235
8,0.58758,43.1765,16.2353,38.0
9,0.66102,48.1176,18.5882,59.882
10,0.73447,37.2353,14.1176,82.235
11,0.80792,12.4706,14.5882,127.176
12,0.88136,9.8235,14.0,131.765
13,0.95481,9.1176,15.0,150.118
14,1.02826,8.5882,12.8824,160.059
15,1.1017,24.1765,8.5882,155.059
16,1.17515,4.5882,7.7647,157.176
17,1.2486,11.0,3.0,171.0
18,1.32204,11.0,4.7647,119.0
19,1.39549,8.9412,3.2353,115.706
20,1.46894,4.2941,2.0588,113.118
21,1.54239,5.4706,2.8824,108.118
22,1.61583,4.7059,4.0,90.412
23,1.68928,6.2353,4.2353,81.353
24,1.76273,3.2353,4.1176,92.765
25,1.83617,0.4118,3.1765,70.471
26,1.90962,0.1176,3.4118,53.765
27,1.98307,9.0588,4.5294,53.941
28,2.05651,5.2941,2.4118,36.353
29,2.12996,0.8235,4.8235,21.765
30,2.20341,3.4118,1.9412,30.176
31,2.27685,5.3529,2.2941,15.118
32,2.3503,0.7059,2.2353,16.412
33,2.42375,0.7059,2.8824,11.647
34,2.4972,3.0,3.0,4.0
