,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,4.0,3.0,13.0
1,0.07345,4.667,5.0551,15.182
2,0.14689,4.614,4.865,10.873
3,0.22034,8.504,6.3471,12.273
4,0.29379,7.747,8.4848,11.157
5,0.36723,8.7,4.8209,23.713
6,0.44068,6.512,5.1818,17.05
7,0.51413,13.063,9.0992,26.57
8,0.58758,36.441,20.27,35.884
9,0.66102,62.43,35.5041,56.264
10,0.73447,101.57,47.124,98.948
11,0.80792,121.333,46.0,155.333
12,0.88136,86.074,48.6281,213.926
13,0.95481,44.581,42.0441,238.438
14,1.02826,22.149,25.0441,238.752
15,1.1017,15.504,15.1157,232.95
16,1.17515,8.848,15.8292,241.331
17,1.2486,8.229,14.4022,217.76
18,1.32204,8.132,12.4132,190.149
19,1.39549,1.906,10.9862,181.107
20,1.46894,1.928,9.2342,146.691
21,1.54239,2.116,9.2893,105.017
22,1.61583,5.333,4.3333,85.0
23,1.68928,2.882,3.9752,85.187
24,1.76273,2.372,4.8347,81.554
25,1.83617,3.617,1.4848,62.209
26,1.90962,3.496,3.7713,47.355
27,1.98307,1.066,6.6033,37.835
28,2.05651,6.006,2.0964,31.14
29,2.12996,6.424,0.4821,27.802
30,2.20341,0.785,1.9421,19.719
31,2.27685,3.777,1.9972,17.956
32,2.3503,5.168,3.146,21.287
33,2.42375,2.0,2.0,13.0
