,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,6.0,6.0,17.0
1,0.07345,3.2609,2.3478,14.478
2,0.14689,0.1739,1.1739,17.478
3,0.22034,7.3043,7.2174,15.261
4,0.29379,5.1304,3.9565,17.391
5,0.36723,1.3043,5.7391,20.043
6,0.44068,9.4348,8.3913,31.522
7,0.51413,8.087,12.8261,26.217
8,0.58758,16.0,18.087,29.13
9,0.66102,14.6522,17.7826,44.478
10,0.73447,20.3478,22.3043,55.174
11,0.80792,27.1739,14.6957,65.391
12,0.88136,13.913,15.7826,70.043
13,0.95481,11.8696,10.1304,78.783
14,1.02826,14.1304,8.4783,91.739
15,1.1017,12.4783,6.3043,98.652
16,1.17515,9.8696,11.087,121.826
17,1.2486,14.1304,11.9565,114.391
18,1.32204,8.7391,9.4348,125.696
19,1.39549,10.4783,13.5652,136.348
20,1.46894,6.5217,12.1739,149.565
21,1.54239,5.3043,9.1739,146.217
22,1.61583,2.9565,7.913,140.043
23,1.68928,4.0,6.0,107.0
24,1.76273,4.087,9.3913,107.217
25,1.83617,1.1739,1.8261,113.304
26,1.90962,1.4783,3.5217,97.609
27,1.98307,2.6087,3.0,105.652
28,2.05651,4.9565,3.7391,86.435
29,2.12996,7.0,5.9565,57.652
30,2.20341,4.0435,5.2174,55.13
31,2.27685,4.2174,3.6087,55.087
32,2.3503,5.3478,1.087,46.174
33,2.42375,7.4783,5.3478,39.826
34,2.4972,1.913,5.1739,37.826
35,2.57064,2.8696,5.8261,36.478
36,2.64409,3.6522,1.2609,24.783
37,2.71754,1.6522,1.6522,19.391
38,2.79098,2.1304,3.087,16.696
39,2.86443,2.0,2.8261,8.435
40,2.93788,0.9565,4.5217,3.913
41,3.01132,3.5652,1.0,10.957
42,3.08477,2.6957,5.3043,10.043
43,3.15822,3.4783,3.0,16.826
44,3.23166,2.0435,1.6522,6.87
45,3.30511,0.5217,4.8261,9.478
46,3.37856,3.0,2.0,11.0
