,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,0.75,2.25,11.0
1,0.07345,1.4804,3.7451,11.99
2,0.14689,3.4608,4.7206,11.539
3,0.22034,4.0294,4.5588,12.382
4,0.29379,2.3481,4.6519,17.034
5,0.36723,0.7745,5.0981,18.647
6,0.44068,0.7206,6.2058,16.779
7,0.51413,1.647,8.5686,19.735
8,0.58758,11.7743,9.6862,26.951
9,0.66102,35.8232,16.941,34.912
10,0.73447,63.4555,25.0049,53.362
11,0.80792,79.9118,27.8725,91.911
12,0.88136,72.6914,25.6031,138.823
13,0.95481,57.2845,18.6863,174.009
14,1.02826,38.8877,19.0,198.563
15,1.1017,17.0591,15.6472,220.294
16,1.17515,8.3431,7.7844,219.353
17,1.2486,8.3334,6.3332,204.667
18,1.32204,5.3825,10.3235,201.794
19,1.39549,2.3137,9.2746,208.785
20,1.46894,2.0883,5.8039,187.378
21,1.54239,0.5882,7.0882,174.353
22,1.61583,2.4264,6.7943,167.604
23,1.68928,2.951,2.7745,144.501
24,1.76273,1.6323,4.0294,120.839
25,1.83617,1.6177,4.8628,106.118
26,1.90962,1.4803,2.8775,99.854
27,1.98307,3.7942,3.0882,81.177
28,2.05651,1.7255,4.4364,67.491
29,2.12996,2.1765,2.6078,49.843
30,2.20341,1.0,3.0,39.427
31,2.27685,1.0,3.196,27.736
32,2.3503,2.6761,3.9069,19.476
33,2.42375,8.4121,3.5,14.912
34,2.4972,1.0,3.3334,13.417
