,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,2.75,3.25,14.75
1,0.07345,0.8648,2.0414,16.6319
2,0.14689,0.554,3.1163,18.7313
3,0.22034,0.4302,5.7393,16.8066
4,0.29379,1.8324,4.7029,12.1157
5,0.36723,1.9462,4.0871,13.5976
6,0.44068,4.6177,7.0554,18.5291
7,0.51413,6.7294,10.0395,26.4282
8,0.58758,10.7175,13.5194,33.1392
9,0.66102,17.2614,12.5417,48.4796
10,0.73447,14.1828,8.2576,60.6814
11,0.80792,3.336,7.6002,67.7268
12,0.88136,6.1821,5.6766,75.4681
13,0.95481,5.3684,3.4211,73.3601
14,1.02826,0.4488,6.3823,76.5873
15,1.1017,1.0944,6.3598,72.5869
16,1.17515,3.4979,3.8442,71.608
17,1.2486,6.3703,5.7481,69.7135
18,1.32204,1.2715,4.7396,77.8116
19,1.39549,0.75,4.9375,69.3125
20,1.46894,0.187,4.4938,67.9183
21,1.54239,1.3203,2.2564,75.1965
22,1.61583,2.1607,1.3546,73.0499
23,1.68928,0.3272,2.5355,69.5017
24,1.76273,2.1267,1.0575,66.1503
25,1.83617,2.5274,1.8198,57.5628
26,1.90962,0.6842,4.2188,61.0914
27,1.98307,1.8482,4.2365,49.5978
28,2.05651,2.3996,3.7929,40.4363
29,2.12996,0.0717,3.9669,40.161
30,2.20341,0.4598,5.1551,37.5512
31,2.27685,2.25,2.0921,23.1492
32,2.3503,4.2673,3.2479,30.7825
33,2.42375,4.0289,3.9624,21.1309
34,2.4972,8.5235,1.205,28.0055
35,2.57064,2.1778,4.1472,19.0738
36,2.64409,2.8158,3.7292,9.9391
37,2.71754,0.4735,4.7012,13.2538
38,2.79098,4.0,4.0,12.0
