,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,2.0,3.5,13.75
1,0.07345,3.2198,6.4614,16.1516
2,0.14689,3.7708,7.6186,10.9618
3,0.22034,1.4627,5.9373,14.1547
4,0.29379,3.4037,6.7355,19.5392
5,0.36723,3.3061,6.3571,18.9745
6,0.44068,4.0833,2.2173,22.4896
7,0.51413,2.35,4.02,14.22
8,0.58758,4.7324,5.5637,15.832
9,0.66102,12.4161,8.2386,23.8049
10,0.73447,23.2194,11.2653,22.7704
11,0.80792,33.4263,13.7339,37.8149
12,0.88136,29.4622,17.0947,62.9655
13,0.95481,11.5584,14.4888,74.6133
14,1.02826,6.85,12.65,102.46
15,1.1017,3.8571,13.2296,101.3061
16,1.17515,0.1261,6.889,107.3527
17,1.2486,4.2922,5.2308,107.8184
18,1.32204,3.2637,5.6022,100.9612
19,1.39549,4.342,6.8547,86.0018
20,1.46894,3.8163,2.4133,100.9847
21,1.54239,5.41,2.99,81.61
22,1.61583,8.2351,2.5139,75.1847
23,1.68928,5.3667,2.5284,82.3792
24,1.76273,5.1116,2.7963,74.6782
25,1.83617,0.8418,4.9082,54.102
26,1.90962,0.8437,4.631,59.1373
27,1.98307,0.1784,3.8035,48.2543
28,2.05651,1.05,4.35,38.19
29,2.12996,0.6316,4.7006,26.2702
30,2.20341,2.4847,2.5867,24.7959
31,2.27685,2.6778,1.309,19.91
32,2.3503,0.8286,1.2516,17.4857
33,2.42375,0.7378,2.6237,18.4239
34,2.4972,2.0714,2.6869,17.6602
35,2.57064,1.75,2.0,19.75
