,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,0.25,2.75,8.25
1,0.07345,1.8224,3.1224,9.916
2,0.14689,1.3969,4.2878,10.102
3,0.22034,2.2531,5.0082,13.198
4,0.29379,3.4724,5.4878,19.009
5,0.36723,9.7755,10.2143,18.847
6,0.44068,30.5204,12.849,27.563
7,0.51413,45.6,12.5,52.3
8,0.58758,50.9,13.8316,81.564
9,0.66102,49.4102,15.4102,102.52
10,0.73447,25.1684,14.2551,119.923
11,0.80792,8.7367,8.7286,120.612
12,0.88136,10.5551,7.3092,117.956
13,0.95481,4.9429,6.7714,120.331
14,1.02826,3.15,7.3,126.2
15,1.1017,3.0714,7.0816,141.776
16,1.17515,2.451,3.6816,143.523
17,1.2486,0.6898,4.6265,142.706
18,1.32204,0.4531,7.8306,136.0
19,1.39549,3.1245,10.3367,122.724
20,1.46894,3.7194,9.6327,123.51
21,1.54239,3.9,5.8,122.0
22,1.61583,3.6643,4.8949,106.136
23,1.68928,0.3429,2.5776,95.178
24,1.76273,1.7082,3.4949,69.829
25,1.83617,0.1224,4.9796,49.122
26,1.90962,0.0,5.9143,51.517
27,1.98307,0.0408,2.5592,33.137
28,2.05651,0.45,1.6,29.85
29,2.12996,0.0,2.1551,27.09
30,2.20341,0.0,0.0459,29.495
31,2.27685,0.1918,0.3653,21.88
32,2.3503,2.8888,2.849,14.646
33,2.42375,1.9429,1.2592,14.135
34,2.4972,0.0255,2.6327,14.365
35,2.57064,2.5,1.5,10.0
