,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,4.0,4.0,20.0
1,0.07345,0.0,2.0,30.733
2,0.14689,2.6,2.5333,30.733
3,0.22034,0.6,4.6,28.4
4,0.29379,4.2667,4.5333,25.333
5,0.36723,7.3333,2.0,27.333
6,0.44068,4.6,8.0,26.0
7,0.51413,2.4667,5.8,22.467
8,0.58758,15.0,9.4667,26.667
9,0.66102,18.4,17.4,27.6
10,0.73447,41.3333,26.6667,47.667
11,0.80792,50.5333,39.4,74.333
12,0.88136,82.0,39.0,128.0
13,0.95481,79.8,48.6667,177.933
14,1.02826,77.2,42.1333,239.6
15,1.1017,47.0,43.0,241.0
16,1.17515,27.6667,20.8667,250.467
17,1.2486,19.0,20.4,253.533
18,1.32204,10.4,15.0,252.0
19,1.39549,14.0667,9.4,245.8
20,1.46894,11.0,10.0,250.667
21,1.54239,0.0,13.0,242.2
22,1.61583,1.4,11.3333,244.533
23,1.68928,4.7333,10.3333,243.267
24,1.76273,5.4,8.8,245.6
25,1.83617,1.3333,10.3333,246.667
26,1.90962,0.8,9.4,222.333
27,1.98307,2.4,7.2,225.0
28,2.05651,2.6,2.4,208.733
29,2.12996,2.8,6.0,184.333
30,2.20341,5.0,5.0,182.0
31,2.27685,0.2,0.2,153.667
32,2.3503,1.7333,3.8667,126.4
33,2.42375,0.8,4.2,95.6
34,2.4972,1.4667,4.2,80.867
35,2.57064,0.0,4.0,56.0
36,2.64409,0.0,4.6,48.0
37,2.71754,0.9333,4.9333,28.867
38,2.79098,2.3333,2.5333,26.0
39,2.86443,0.8,2.6,27.8
40,2.93788,2.6667,2.0,25.667
41,3.01132,0.0,2.2,15.267
42,3.08477,4.4,2.8,13.4
43,3.15822,4.3333,4.0,15.933
44,3.23166,0.0,7.6,14.733
45,3.30511,0.0,5.0,18.0
