,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,1.0,0.0,11.0
1,0.07345,1.9375,0.0312,7.125
2,0.14689,0.125,4.8125,3.0625
3,0.22034,0.0,3.8125,7.0
4,0.29379,7.0,3.0,7.625
5,0.36723,0.0,2.1562,15.1562
6,0.44068,6.5,7.625,17.25
7,0.51413,11.5625,8.0,17.9062
8,0.58758,19.5,9.25,40.0
9,0.66102,18.0312,9.6875,53.6875
10,0.73447,20.9375,14.0625,70.3125
11,0.80792,8.625,11.9375,70.5938
12,0.88136,0.375,7.0,80.375
13,0.95481,1.1875,7.9688,85.9375
14,1.02826,4.5,5.8125,79.8125
15,1.1017,0.4688,8.3438,91.4375
16,1.17515,0.5,8.0,98.5
17,1.2486,4.7188,13.0938,88.0938
18,1.32204,0.5625,12.5625,82.5625
19,1.39549,10.7188,8.4062,71.2188
20,1.46894,1.625,13.75,60.875
21,1.54239,6.6562,5.0312,68.625
22,1.61583,0.9375,5.875,48.6875
23,1.68928,4.7188,6.125,39.9062
24,1.76273,1.25,5.25,37.5
25,1.83617,0.0,2.7812,26.4688
26,1.90962,0.0,5.0625,31.8125
27,1.98307,1.1562,0.3125,17.6562
28,2.05651,0.0,4.625,20.0
29,2.12996,1.9062,1.0938,16.375
30,2.20341,0.0,4.8125,19.375
31,2.27685,0.0,4.9688,14.0312
32,2.3503,2.0,2.0,9.0
