,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,3.9724,1.5833,26.167
1,0.07345,6.1983,1.2441,23.556
2,0.14689,3.4569,2.2898,18.164
3,0.22034,0.3009,3.7601,23.366
4,0.29379,1.6701,3.499,19.395
5,0.36723,2.1104,6.2263,14.992
6,0.44068,7.4106,4.4066,17.569
7,0.51413,0.8262,5.3357,13.933
8,0.58758,3.2374,2.5569,13.011
9,0.66102,9.5827,4.2229,11.573
10,0.73447,15.9271,2.3157,14.838
11,0.80792,30.5957,5.683,24.08
12,0.88136,46.5053,14.2118,42.842
13,0.95481,33.288,13.2527,70.747
14,1.02826,37.5423,11.3602,66.769
15,1.1017,29.2872,9.2309,79.839
16,1.17515,16.077,6.055,90.801
17,1.2486,20.8668,7.212,101.316
18,1.32204,23.7254,6.1984,121.113
19,1.39549,12.9028,14.0195,124.058
20,1.46894,13.5433,10.0192,123.382
21,1.54239,14.8008,14.5829,151.876
22,1.61583,2.4686,7.4645,123.903
23,1.68928,7.5686,10.2931,119.132
24,1.76273,2.5703,7.2691,98.071
25,1.83617,3.6194,6.493,96.498
26,1.90962,4.0553,7.4797,80.136
27,1.98307,0.2209,5.8645,63.513
28,2.05651,1.8437,3.5052,47.306
29,2.12996,3.8727,6.3683,53.511
30,2.20341,2.1545,4.5521,38.209
31,2.27685,2.5019,4.322,33.562
32,2.3503,1.1631,2.8773,21.539
33,2.42375,1.8618,0.317,20.795
34,2.4972,0.2097,2.5911,17.702
35,2.57064,0.2904,0.5214,15.12
36,2.64409,0.7873,1.792,12.071
37,2.71754,0.102,2.901,16.359
38,2.79098,0.0,4.1612,11.153
39,2.86443,3.7471,4.1324,13.343
40,2.93788,2.5666,2.1465,11.394
41,3.01132,0.8334,3.25,9.75
