,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,5.0,0.0,24.0
1,0.07345,13.0,3.0,19.0
2,0.14689,0.0,4.0,18.0
3,0.22034,4.0,8.0,11.0
4,0.29379,0.0,3.0,21.0
5,0.36723,0.0,6.0,13.0
6,0.44068,4.0,8.0,21.0
7,0.51413,15.0,10.0,26.0
8,0.58758,16.0,8.0,35.0
9,0.66102,22.0,11.0,48.0
10,0.73447,5.0,9.0,52.0
11,0.80792,16.0,15.0,72.0
12,0.88136,6.0,9.0,92.0
13,0.95481,11.0,17.0,77.0
14,1.02826,10.0,8.0,91.0
15,1.1017,16.0,19.0,114.0
16,1.17515,9.0,9.0,91.0
17,1.2486,4.0,13.0,82.0
18,1.32204,3.0,8.0,67.0
19,1.39549,1.0,2.0,80.0
20,1.46894,5.0,4.0,57.0
21,1.54239,0.0,8.0,33.0
22,1.61583,2.0,17.0,38.0
23,1.68928,5.0,7.0,40.0
24,1.76273,7.0,4.0,52.0
25,1.83617,9.0,5.0,39.0
26,1.90962,2.0,5.0,37.0
27,1.98307,3.0,2.0,32.0
28,2.05651,0.0,3.0,18.0
29,2.12996,0.0,3.0,9.0
30,2.20341,0.0,1.0,10.0
31,2.27685,1.0,8.0,17.0
32,2.3503,1.0,7.0,13.0
33,2.42375,4.0,3.0,10.0
34,2.4972,0.0,4.0,13.0
