,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,0.0,9.0,36.0
1,0.07345,0.324,6.6757,42.162
2,0.14689,6.919,7.5676,33.919
3,0.22034,7.973,5.2973,40.757
4,0.29379,3.973,3.8378,27.838
5,0.36723,3.784,7.5946,31.595
6,0.44068,3.757,2.4054,23.0
7,0.51413,11.27,3.973,33.838
8,0.58758,7.0,3.5405,31.459
9,0.66102,21.568,9.9189,39.73
10,0.73447,39.108,18.5676,54.243
11,0.80792,85.432,31.6216,60.405
12,0.88136,84.73,48.5946,105.459
13,0.95481,100.568,39.0811,181.514
14,1.02826,52.162,44.6216,235.865
15,1.1017,35.622,36.5946,243.297
16,1.17515,9.649,35.6757,243.919
17,1.2486,10.189,17.8378,254.514
18,1.32204,19.514,22.0,254.622
19,1.39549,9.838,12.1081,253.676
20,1.46894,4.486,15.0,245.0
21,1.54239,4.0,14.0811,255.0
22,1.61583,21.297,22.973,243.243
23,1.68928,16.486,14.5405,238.919
24,1.76273,4.027,8.6216,212.0
25,1.83617,11.811,13.4865,207.324
26,1.90962,4.811,9.1892,197.162
27,1.98307,7.351,9.7568,142.568
28,2.05651,0.054,4.0541,129.27
29,2.12996,7.189,8.7297,127.189
30,2.20341,6.784,7.7838,77.378
31,2.27685,8.486,6.6486,62.297
32,2.3503,0.0,7.3243,58.973
33,2.42375,2.27,5.7027,46.324
34,2.4972,3.973,3.6486,43.324
35,2.57064,2.865,4.0,26.919
36,2.64409,5.459,6.8919,22.541
37,2.71754,14.0,5.0,17.0
