,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,2.0,2.0,10.0
1,0.07345,1.0633,2.9967,7.2933
2,0.14689,4.5467,3.56,12.6933
3,0.22034,14.7,1.38,11.86
4,0.29379,5.7467,2.8667,7.0667
5,0.36723,2.8333,2.5833,8.3333
6,0.44068,2.48,3.28,9.52
7,0.51413,0.7233,1.86,15.9367
8,0.58758,1.32,3.8133,13.6533
9,0.66102,3.07,8.2,17.02
10,0.73447,1.3333,8.6667,21.3333
11,0.80792,11.11,12.8867,20.73
12,0.88136,18.12,13.96,29.52
13,0.95481,18.9,17.7167,39.3
14,1.02826,13.64,18.1333,49.7467
15,1.1017,16.25,19.0,63.75
16,1.17515,13.7867,12.9067,69.2133
17,1.2486,8.8533,8.6833,75.2833
18,1.32204,4.44,4.92,82.32
19,1.39549,5.8033,3.57,78.9933
20,1.46894,4.6667,2.3333,73.6667
21,1.54239,4.96,2.26,68.95
22,1.61583,4.2267,1.72,62.56
23,1.68928,6.8333,3.1333,54.7633
24,1.76273,5.76,3.68,38.92
25,1.83617,3.0833,2.3333,39.8333
26,1.90962,0.3467,1.8267,23.1067
27,1.98307,0.64,2.81,14.72
28,2.05651,7.2,3.7067,15.8533
29,2.12996,2.82,1.2567,17.5933
30,2.20341,1.0,2.0,11.0
