,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,5.0,3.0,15.0
1,0.07345,1.2821,3.0769,13.744
2,0.14689,1.1026,4.0,9.949
3,0.22034,4.0769,2.7692,8.0
4,0.29379,2.8974,7.2051,7.513
5,0.36723,12.4615,3.1282,6.128
6,0.44068,5.0769,7.6923,10.692
7,0.51413,8.641,6.8205,8.256
8,0.58758,3.6154,4.2051,17.846
9,0.66102,27.7692,6.9231,26.769
10,0.73447,25.359,13.2308,27.231
11,0.80792,63.3333,9.5897,38.718
12,0.88136,49.7692,12.3846,36.692
13,0.95481,33.6667,15.3333,48.333
14,1.02826,29.2308,11.9231,59.897
15,1.1017,14.7692,15.2308,64.231
16,1.17515,13.3077,3.8205,79.974
17,1.2486,3.9487,9.5641,93.462
18,1.32204,1.9231,11.9231,93.615
19,1.39549,12.3333,7.0256,92.128
20,1.46894,7.4872,9.9487,98.718
21,1.54239,7.9231,6.4615,108.846
22,1.61583,3.6923,3.8205,99.41
23,1.68928,5.1795,6.4615,102.436
24,1.76273,4.6923,9.2308,118.385
25,1.83617,9.5641,10.2051,123.667
26,1.90962,9.6667,9.6667,118.667
27,1.98307,3.2308,7.3846,118.692
28,2.05651,2.2564,5.4359,108.179
29,2.12996,9.2308,9.7179,100.256
30,2.20341,14.5385,5.0,82.462
31,2.27685,4.5897,5.8205,90.59
32,2.3503,12.2821,4.1795,70.667
33,2.42375,6.0769,4.6154,51.154
34,2.4972,16.4615,4.2564,53.103
35,2.57064,1.2308,5.8974,45.564
36,2.64409,5.5385,6.7692,43.615
37,2.71754,2.8974,5.8462,23.974
38,2.79098,2.9231,2.0256,24.744
39,2.86443,3.0,1.0,15.0
