,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,3.25,3.75,15.25
1,0.07345,3.25,3.981,18.286
2,0.14689,1.4824,3.7812,18.51
3,0.22034,3.719,4.8762,13.908
4,0.29379,6.6641,9.2773,15.84
5,0.36723,10.5898,17.6125,26.179
6,0.44068,23.5654,21.4023,35.867
7,0.51413,24.5598,23.3193,61.073
8,0.58758,21.4219,28.2031,77.984
9,0.66102,20.4404,24.9846,116.294
10,0.73447,24.0361,20.6133,137.194
11,0.80792,33.3528,23.8252,139.752
12,0.88136,39.2422,21.9492,136.316
13,0.95481,32.3682,28.3997,146.457
14,1.02826,32.2744,23.8271,165.799
15,1.1017,25.4814,17.0828,182.026
16,1.17515,18.0,17.5,197.188
17,1.2486,19.4863,16.1472,183.681
18,1.32204,14.3311,16.7959,198.959
19,1.39549,13.4919,15.9138,211.884
20,1.46894,9.9062,9.8633,219.094
21,1.54239,6.1987,7.1995,218.04
22,1.61583,4.8037,7.377,207.364
23,1.68928,8.9548,8.4888,179.104
24,1.76273,8.2656,5.2969,158.797
25,1.83617,9.2104,3.1831,167.431
26,1.90962,9.9668,5.5596,141.521
27,1.98307,9.3594,4.7,111.729
28,2.05651,3.2852,3.4727,103.496
29,2.12996,0.564,2.8611,68.738
30,2.20341,0.0,3.9473,49.697
31,2.27685,0.2673,2.8022,64.08
32,2.3503,6.0,2.0,35.0
