,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,6.0,2.0,10.0
1,0.07345,3.625,0.875,13.375
2,0.14689,3.5,8.75,6.5
3,0.22034,0.625,1.375,5.5
4,0.29379,0.0,2.5,6.5
5,0.36723,1.875,0.75,10.375
6,0.44068,7.75,2.0,3.0
7,0.51413,7.625,4.125,2.875
8,0.58758,13.0,9.0,4.0
9,0.66102,7.0,14.5,4.625
10,0.73447,11.75,12.25,15.0
11,0.80792,43.625,23.25,24.5
12,0.88136,79.5,30.0,46.5
13,0.95481,83.875,27.375,59.375
14,1.02826,81.0,17.25,105.0
15,1.1017,52.25,16.125,163.625
16,1.17515,20.0,19.0,161.0
17,1.2486,9.875,5.625,168.0
18,1.32204,16.0,3.75,171.75
19,1.39549,2.375,6.375,163.0
20,1.46894,0.5,3.5,184.0
21,1.54239,1.875,8.75,155.0
22,1.61583,1.0,6.0,128.0
23,1.68928,4.25,6.75,125.5
24,1.76273,12.0,6.0,83.0
25,1.83617,7.5,7.0,78.25
26,1.90962,7.0,8.0,60.75
27,1.98307,9.5,5.875,52.125
28,2.05651,5.5,2.5,33.5
29,2.12996,1.375,6.125,19.5
30,2.20341,3.75,3.5,15.0
31,2.27685,1.125,3.25,20.5
32,2.3503,4.0,1.0,7.0
