,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,0.0,1.0,15.0
1,0.07345,5.7,1.1,12.4
2,0.14689,9.9,4.7,10.7
3,0.22034,0.0,8.4,11.85
4,0.29379,4.0,3.8,11.8
5,0.36723,4.75,6.75,11.5
6,0.44068,1.9,5.7,8.9
7,0.51413,6.45,6.0,9.9
8,0.58758,8.4,3.8,12.8
9,0.66102,1.1,8.75,12.3
10,0.73447,5.5,12.0,15.0
11,0.80792,6.35,10.35,22.6
12,0.88136,12.0,13.0,21.6
13,0.95481,29.05,21.05,25.15
14,1.02826,51.9,21.6,38.5
15,1.1017,65.0,24.5,61.0
16,1.17515,65.8,25.6,82.6
17,1.2486,26.05,15.45,112.1
18,1.32204,26.2,17.0,139.7
19,1.39549,6.8,17.6,137.3
20,1.46894,10.0,7.0,154.0
21,1.54239,20.55,6.15,163.75
22,1.61583,7.1,7.8,135.9
23,1.68928,6.4,10.55,138.25
24,1.76273,7.6,14.4,122.2
25,1.83617,13.75,9.75,100.75
26,1.90962,3.0,11.7,100.3
27,1.98307,5.25,5.05,65.65
28,2.05651,3.0,3.0,71.2
29,2.12996,5.85,4.9,54.75
30,2.20341,3.5,3.0,43.0
31,2.27685,6.0,0.45,44.95
32,2.3503,6.4,5.4,31.2
33,2.42375,3.1,4.7,26.6
34,2.4972,4.6,4.7,23.4
35,2.57064,2.5,2.0,27.25
36,2.64409,2.2,8.2,19.4
37,2.71754,4.85,4.15,24.25
38,2.79098,3.2,2.2,16.8
39,2.86443,6.65,2.95,12.05
40,2.93788,1.637e-11,1.0,23.0
