,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,2.0,4.0,1.0
1,0.07345,14.1429,4.7714,7.8857
2,0.14689,2.7714,0.6857,12.3143
3,0.22034,3.3143,2.8571,12.0
4,0.29379,1.9143,5.4,8.3143
5,0.36723,1.8571,3.5714,8.2857
6,0.44068,8.0571,5.9714,6.4
7,0.51413,2.0,7.8,12.4
8,0.58758,3.9143,11.9143,12.5714
9,0.66102,4.4571,13.0,20.2
10,0.73447,6.8571,14.4286,26.2857
11,0.80792,12.2571,17.7429,44.4
12,0.88136,19.0571,16.9429,42.4857
13,0.95481,10.4286,25.4571,63.2571
14,1.02826,3.6,15.0,96.2
15,1.1017,16.1429,22.5714,100.4286
16,1.17515,25.8857,5.5143,98.2
17,1.2486,10.4,14.8,99.4857
18,1.32204,12.9143,12.8571,98.5714
19,1.39549,6.6571,7.5143,94.8571
20,1.46894,8.8571,6.7143,101.7143
21,1.54239,1.2,8.8,96.0
22,1.61583,8.5143,13.4857,90.1429
23,1.68928,3.4286,10.0571,82.6857
24,1.76273,5.6571,9.6286,68.1143
25,1.83617,5.8571,8.4286,63.0
26,1.90962,2.5714,6.4571,57.8
27,1.98307,3.0857,6.0,52.2571
28,2.05651,2.4,6.0,44.2
29,2.12996,6.2571,6.2857,45.1714
30,2.20341,6.1429,9.7143,48.2857
31,2.27685,0.4571,6.4571,30.6857
32,2.3503,1.5429,6.8571,21.8571
33,2.42375,1.7714,3.6857,34.5429
34,2.4972,3.3429,7.1714,25.0571
35,2.57064,3.0,8.0,20.0
