,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,2.0,3.0,4.0
1,0.07345,7.6765,1.2941,10.1176
2,0.14689,1.8824,2.8824,12.9412
3,0.22034,0.5588,2.4412,14.5294
4,0.29379,0.0,4.7647,7.6471
5,0.36723,2.7353,5.7353,11.2647
6,0.44068,0.0,2.8824,7.2353
7,0.51413,3.2353,3.0588,7.0
8,0.58758,5.5294,4.0,12.9412
9,0.66102,3.5882,3.0,11.6471
10,0.73447,4.7059,4.4118,12.9412
11,0.80792,13.5294,3.0,14.2941
12,0.88136,17.2353,5.2941,20.0588
13,0.95481,16.2647,6.9118,19.9118
14,1.02826,22.4706,8.0,28.2353
15,1.1017,21.1471,11.2059,44.9706
16,1.17515,22.7059,9.0,39.7059
17,1.2486,6.5,10.5,52.5
18,1.32204,7.8824,5.4118,54.7647
19,1.39549,2.8235,7.8235,67.6765
20,1.46894,7.8824,12.2353,76.7647
21,1.54239,2.7353,10.6471,75.4118
22,1.61583,2.0,7.5882,66.0
23,1.68928,7.2353,7.8529,62.3824
24,1.76273,6.9412,5.5294,64.7647
25,1.83617,6.3235,10.1176,55.6176
26,1.90962,9.3529,8.0588,58.8824
27,1.98307,12.8529,6.8235,46.1176
28,2.05651,5.2353,4.2353,55.0
29,2.12996,6.0,5.5882,29.9412
30,2.20341,12.4118,3.5882,21.4706
31,2.27685,0.8824,2.3235,17.7647
32,2.3503,3.8235,6.4118,8.1765
33,2.42375,2.2941,5.5588,12.5882
34,2.4972,2.0,2.0,7.0
