,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,4.0,3.0,13.0
1,0.07345,9.1852,3.0,11.1111
2,0.14689,8.037,3.6296,12.4815
3,0.22034,1.1111,4.4444,12.3333
4,0.29379,4.963,2.0,11.7778
5,0.36723,13.8889,3.0741,22.0
6,0.44068,18.0,13.3333,25.3333
7,0.51413,39.037,11.4074,30.2222
8,0.58758,53.4074,15.1111,30.7037
9,0.66102,37.6667,12.6667,45.0
10,0.73447,26.8148,6.1481,60.5185
11,0.80792,8.3704,8.2222,66.5185
12,0.88136,8.2222,5.6667,69.0
13,0.95481,3.6296,8.4074,67.7778
14,1.02826,7.1852,3.6296,83.2222
15,1.1017,7.3333,5.1111,72.2222
16,1.17515,5.037,7.0,97.1852
17,1.2486,4.2593,4.0,77.4444
18,1.32204,2.0,5.3333,83.6667
19,1.39549,2.5185,2.4444,78.9259
20,1.46894,0.7037,3.8889,63.2222
21,1.54239,9.2222,3.3333,46.6667
22,1.61583,0.3704,1.3704,56.4074
23,1.68928,3.2593,5.0,46.6296
24,1.76273,3.5556,4.3333,40.6667
25,1.83617,0.0,3.8889,29.8148
26,1.90962,0.5556,3.7407,26.1852
27,1.98307,2.0,5.457e-12,25.0
