,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,4.0,3.0,8.0
1,0.07345,0.1333,5.7333,9.867
2,0.14689,4.6667,4.2,9.4
3,0.22034,7.8,2.8,10.0
4,0.29379,1.4667,3.4,9.4
5,0.36723,10.0,5.6667,14.667
6,0.44068,7.6,9.8,12.8
7,0.51413,14.9333,8.0,5.133
8,0.58758,2.2,5.0667,15.333
9,0.66102,35.0,10.4,13.4
10,0.73447,31.6667,18.6667,25.333
11,0.80792,71.2,11.4,34.6
12,0.88136,48.4,14.6,54.0
13,0.95481,40.4667,9.3333,71.867
14,1.02826,21.5333,14.4667,68.267
15,1.1017,14.0,14.0,81.0
16,1.17515,31.3333,9.2667,96.933
17,1.2486,20.6,16.1333,98.267
18,1.32204,18.4,16.8,112.0
19,1.39549,15.2667,15.0667,97.733
20,1.46894,1.6667,9.3333,106.667
21,1.54239,3.8,9.4,87.4
22,1.61583,5.0667,5.6,89.133
23,1.68928,3.9333,4.0667,62.667
24,1.76273,5.2,8.4,62.4
25,1.83617,6.6667,6.3333,42.667
26,1.90962,7.7333,3.6667,33.533
27,1.98307,6.6,1.0,28.2
28,2.05651,2.9333,2.5333,28.667
29,2.12996,3.6,3.5333,17.467
30,2.20341,2.0,4.0,18.0
