,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,3.0,12.0,7.0
1,0.07345,15.918,6.1224,13.143
2,0.14689,6.041,2.0,9.469
3,0.22034,2.367,4.3673,9.102
4,0.29379,2.469,4.0,8.041
5,0.36723,3.939,4.0,8.163
6,0.44068,1.0,4.0612,9.735
7,0.51413,7.143,3.5714,7.143
8,0.58758,3.98,8.9796,8.898
9,0.66102,2.898,9.6939,12.286
10,0.73447,11.02,10.449,16.449
11,0.80792,18.694,18.2245,18.735
12,0.88136,41.531,17.8776,30.776
13,0.95481,99.265,34.9592,40.0
14,1.02826,165.0,39.5714,77.429
15,1.1017,195.878,38.1837,102.163
16,1.17515,222.388,32.5918,161.061
17,1.2486,110.204,17.9796,204.878
18,1.32204,40.163,19.1837,233.02
19,1.39549,17.306,15.3061,234.122
20,1.46894,11.592,13.1429,241.469
21,1.54239,6.571,13.2857,238.429
22,1.61583,10.0,6.0,242.245
23,1.68928,10.531,10.898,236.224
24,1.76273,9.51,10.0612,246.224
25,1.83617,4.245,9.3673,234.673
26,1.90962,2.0,10.3673,234.469
27,1.98307,4.224,9.8571,218.939
28,2.05651,5.571,3.5714,205.143
29,2.12996,3.245,4.2041,188.122
30,2.20341,4.265,6.3469,166.98
31,2.27685,1.837,4.0,164.102
32,2.3503,13.082,2.0816,144.837
33,2.42375,6.714,6.1224,145.673
34,2.4972,4.184,2.4898,125.959
35,2.57064,4.286,7.0,100.143
36,2.64409,3.0,5.1837,103.673
37,2.71754,0.939,8.0612,92.714
38,2.79098,8.918,2.3061,78.776
39,2.86443,4.551,8.4286,81.061
40,2.93788,6.286,4.3061,67.653
41,3.01132,2.204,6.0204,58.878
42,3.08477,0.286,3.2857,50.286
43,3.15822,6.592,3.2653,31.918
44,3.23166,11.388,2.3878,28.163
45,3.30511,11.469,6.4694,24.714
46,3.37856,4.0,4.7347,26.163
47,3.452,9.02,5.2449,24.98
48,3.52545,6.633,5.9796,21.0
49,3.5989,10.0,12.0,13.0
