,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,7.0,5.0,17.0
1,0.07345,0.1636,4.2182,14.0
2,0.14689,1.7818,2.4364,15.891
3,0.22034,0.8364,1.1636,16.164
4,0.29379,0.0,3.4364,12.655
5,0.36723,2.7273,5.0,14.545
6,0.44068,5.0,8.3455,13.673
7,0.51413,6.0,11.8545,11.945
8,0.58758,11.6364,14.5091,14.127
9,0.66102,37.8182,22.4727,23.582
10,0.73447,34.3636,26.1818,22.545
11,0.80792,35.2,21.0,31.0
12,0.88136,34.3818,21.9636,58.418
13,0.95481,28.1818,22.8364,72.473
14,1.02826,27.7455,25.4,87.764
15,1.1017,47.4545,32.2727,104.818
16,1.17515,29.0182,14.6364,135.436
17,1.2486,30.9818,21.2364,123.4
18,1.32204,18.2,23.8,126.145
19,1.39549,11.4727,26.8182,138.564
20,1.46894,33.1818,10.8182,156.455
21,1.54239,28.3273,28.0,161.782
22,1.61583,38.4,30.4,169.8
23,1.68928,43.3455,32.0364,159.855
24,1.76273,52.8909,36.9818,210.545
25,1.83617,38.8182,24.8182,232.545
26,1.90962,38.5091,18.5091,228.618
27,1.98307,11.4909,18.0,232.782
28,2.05651,10.3091,11.0545,253.055
29,2.12996,8.9273,7.0,242.073
30,2.20341,7.9091,6.9091,244.273
31,2.27685,3.6182,7.9273,234.782
32,2.3503,2.0,8.2364,209.291
33,2.42375,9.4,5.2,227.4
34,2.4972,5.4545,7.0,200.8
35,2.57064,9.7273,4.1818,203.273
36,2.64409,6.3636,3.0364,189.382
37,2.71754,5.0182,4.9818,172.491
38,2.79098,10.2727,5.3636,161.0
39,2.86443,0.5091,4.1455,129.236
40,2.93788,7.7273,4.6364,127.727
41,3.01132,12.1091,4.7636,132.673
42,3.08477,2.5818,5.2909,108.782
43,3.15822,2.7636,3.0364,77.964
44,3.23166,9.4,7.0,70.8
45,3.30511,0.0,6.7273,57.364
46,3.37856,2.0,5.0727,47.036
47,3.452,1.6909,2.4364,42.182
48,3.52545,2.9091,1.5273,36.0
49,3.5989,2.6909,3.6727,25.345
50,3.67235,0.7273,2.0,21.727
51,3.74579,2.2182,4.7818,17.873
52,3.81924,0.0,3.6727,16.491
53,3.89269,6.1091,6.6727,12.873
54,3.96613,6.2727,3.0545,21.727
55,4.03958,16.0,5.0,13.0
