,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,0.0,3.0,18.0
1,0.07345,7.375,6.125,19.938
2,0.14689,10.0,8.25,22.75
3,0.22034,8.9375,9.5625,22.688
4,0.29379,13.5,12.5,25.0
5,0.36723,24.6875,14.875,31.75
6,0.44068,37.5,16.0,39.25
7,0.51413,35.8125,16.375,55.062
8,0.58758,20.0,22.0,90.0
9,0.66102,9.5,11.1875,69.25
10,0.73447,8.0,7.5,92.5
11,0.80792,3.1875,8.625,100.812
12,0.88136,5.0,9.5,118.5
13,0.95481,7.5,7.625,115.125
14,1.02826,7.5,7.25,126.0
15,1.1017,7.0625,8.1875,105.688
16,1.17515,8.0,6.0,97.0
17,1.2486,7.8125,3.9375,103.562
18,1.32204,10.25,4.25,94.5
19,1.39549,3.5625,6.5,82.312
20,1.46894,3.5,4.5,79.0
21,1.54239,4.1875,4.4375,78.875
22,1.61583,3.0,3.25,75.25
23,1.68928,0.8125,5.625,54.125
24,1.76273,1.0,10.0,46.0
25,1.83617,3.8125,4.875,44.188
26,1.90962,1.0,5.25,38.5
27,1.98307,1.875,6.1875,30.312
28,2.05651,3.0,7.0,22.0
29,2.12996,4.6875,6.5625,21.562
30,2.20341,0.0,3.75,16.25
31,2.27685,1.75,5.0625,15.312
32,2.3503,7.0,3.0,18.0
33,2.42375,6.4375,4.0,18.75
34,2.4972,3.25,4.25,16.25
35,2.57064,5.875,3.5625,14.438
36,2.64409,9.0,3.5,8.5
37,2.71754,8.0,3.5,7.438
38,2.79098,2.25,5.0,10.75
39,2.86443,1.8125,8.0,7.688
40,2.93788,0.0,7.0,7.0
