,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,1.5,3.5,9.5
1,0.07345,1.7108,2.9633,10.389
2,0.14689,4.2801,3.7323,12.897
3,0.22034,6.3872,3.5035,14.365
4,0.29379,3.8025,4.8395,14.704
5,0.36723,2.4107,6.348,16.564
6,0.44068,5.6389,7.7014,16.306
7,0.51413,16.3,11.2895,18.652
8,0.58758,45.3241,11.7562,26.861
9,0.66102,70.5,9.2188,43.781
10,0.73447,58.6373,11.8958,51.266
11,0.80792,40.5523,12.5042,72.265
12,0.88136,21.5556,11.7778,83.111
13,0.95481,11.3634,8.7706,88.536
14,1.02826,7.1813,5.162,92.274
15,1.1017,4.9271,3.7413,108.028
16,1.17515,2.716,7.6636,104.389
17,1.2486,7.1628,6.5972,108.314
18,1.32204,6.9375,5.8125,108.125
19,1.39549,3.36,6.1125,117.244
20,1.46894,6.1852,7.0247,97.691
21,1.54239,3.849,4.0868,104.705
22,1.61583,2.3272,3.6559,100.326
23,1.68928,6.6036,2.3611,105.208
24,1.76273,1.9722,3.4722,96.583
25,1.83617,2.5748,0.9851,85.124
26,1.90962,4.9452,5.6397,82.635
27,1.98307,4.0781,4.8594,68.188
28,2.05651,2.2469,7.6296,53.988
29,2.12996,3.7232,2.5224,67.231
30,2.20341,7.8958,2.9167,50.271
31,2.27685,8.1644,4.1397,37.634
32,2.3503,2.6481,4.2778,36.657
33,2.42375,4.4965,5.6146,32.345
34,2.4972,1.3634,5.8735,29.4
35,2.57064,0.7222,4.1755,16.221
36,2.64409,1.819e-11,4.0,25.0
