,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,6.0,5.0,15.0
1,0.07345,4.2903,5.0968,13.6129
2,0.14689,0.0,2.9677,10.0323
3,0.22034,7.4516,6.7097,11.3871
4,0.29379,10.4516,3.7742,12.7097
5,0.36723,4.3871,5.0645,10.0
6,0.44068,3.9355,9.2581,10.1613
7,0.51413,9.0968,12.2903,14.3871
8,0.58758,21.7742,14.0968,22.4516
9,0.66102,29.9677,14.2581,26.6774
10,0.73447,29.5484,17.8387,54.9355
11,0.80792,14.3226,9.129,71.4839
12,0.88136,11.5806,12.5161,82.8064
13,0.95481,8.5161,10.4839,74.1613
14,1.02826,9.9355,4.7097,89.4194
15,1.1017,7.2581,6.0,107.5484
16,1.17515,2.5484,8.0,93.2903
17,1.2486,1.2903,4.6452,86.5806
18,1.32204,0.0,5.2903,82.5161
19,1.39549,2.8387,5.7742,79.6774
20,1.46894,6.5484,5.871,63.129
21,1.54239,1.9355,6.9355,58.0968
22,1.61583,1.871,3.3871,54.129
23,1.68928,1.7742,3.2258,44.6774
24,1.76273,2.0323,5.3548,32.0323
25,1.83617,0.0,5.3548,32.2903
26,1.90962,0.5161,4.5161,27.7419
27,1.98307,3.0,3.6129,26.3548
28,2.05651,1.4516,2.2903,16.5806
29,2.12996,0.7742,1.1935,17.3871
30,2.20341,4.5161,2.2903,17.3226
31,2.27685,2.0,4.0,11.0
