,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,13.0,6.0,18.0
1,0.07345,18.2588,1.9608,20.978
2,0.14689,2.8457,4.6,14.4539
3,0.22034,5.4106,3.1943,14.9812
4,0.29379,5.2988,5.5641,13.4645
5,0.36723,3.0,3.5918,13.6327
6,0.44068,3.8718,6.3388,14.1665
7,0.51413,2.44,6.2,13.76
8,0.58758,2.5706,7.0751,15.5747
9,0.66102,11.6188,9.1306,25.0327
10,0.73447,21.1429,7.6735,30.5714
11,0.80792,38.8392,14.5894,35.858
12,0.88136,63.8531,13.1739,44.9918
13,0.95481,66.6155,9.9102,60.1837
14,1.02826,61.48,9.6,68.56
15,1.1017,44.7143,8.7755,80.7347
16,1.17515,29.0065,7.0449,89.9216
17,1.2486,19.8669,9.3943,90.9388
18,1.32204,7.2996,8.551,89.9135
19,1.39549,5.9918,4.7045,89.2767
20,1.46894,5.7959,5.7755,103.5714
21,1.54239,4.48,7.08,111.8
22,1.61583,4.7208,4.7722,105.0449
23,1.68928,5.8996,3.618,99.4776
24,1.76273,4.5927,3.6784,85.4253
25,1.83617,5.7143,5.102,72.6531
26,1.90962,4.3747,5.6318,66.6106
27,1.98307,1.3657,7.8898,62.4065
28,2.05651,1.32,8.72,55.72
29,2.12996,1.4947,4.88,43.0604
30,2.20341,4.0408,7.7143,39.9184
31,2.27685,2.1698,3.8351,45.5478
32,2.3503,3.9747,3.2106,24.6841
33,2.42375,4.5641,5.8588,19.2882
34,2.4972,4.3722,3.9951,15.48
35,2.57064,7.731e-12,4.0,15.0
