,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,0.0,4.0,12.25
1,0.07345,0.8967,3.1942,10.702
2,0.14689,0.5861,3.0902,12.094
3,0.22034,0.1302,2.7087,8.103
4,0.29379,0.3671,5.2762,6.705
5,0.36723,2.7087,9.0482,6.415
6,0.44068,10.0289,10.938,9.467
7,0.51413,17.365,8.5303,18.597
8,0.58758,34.6281,10.7052,29.51
9,0.66102,54.1446,19.9876,40.351
10,0.73447,68.5014,22.1164,69.895
11,0.80792,62.5,17.25,96.0
12,0.88136,24.7913,13.6426,131.727
13,0.95481,8.0152,5.7218,156.218
14,1.02826,7.1674,11.4339,158.531
15,1.1017,2.0806,6.3161,183.052
16,1.17515,4.5627,11.0213,167.502
17,1.2486,3.4539,9.0778,202.676
18,1.32204,6.874,7.3967,168.907
19,1.39549,5.4456,8.354,143.826
20,1.46894,3.095,3.759,146.656
21,1.54239,9.9174,5.8967,132.116
22,1.61583,2.5,4.6667,120.917
23,1.68928,5.8629,3.4242,119.483
24,1.76273,1.5186,3.7479,103.314
25,1.83617,1.9573,2.6694,78.085
26,1.90962,6.4187,2.6233,68.278
27,1.98307,4.1136,1.5455,65.676
28,2.05651,3.6123,1.9718,58.988
29,2.12996,3.8567,2.1687,42.251
30,2.20341,3.2789,2.3781,40.035
31,2.27685,1.4456,3.8836,35.919
32,2.3503,0.8196,3.1942,32.119
33,2.42375,3.5,2.0,30.0
